gesture,rep,t_ms,gx,gy,gz,ax,ay,az
down,1,0,-4.875,2.375,-2.500,0.230,0.136,-1.006
down,1,21,-4.937,0.562,-2.375,0.240,0.119,-0.996
down,1,40,-4.125,-2.750,-0.312,0.223,0.115,-0.983
down,1,60,-4.562,-4.000,0.562,0.200,0.129,-0.946
down,1,80,-5.750,-4.562,0.187,0.175,0.135,-0.902
down,1,100,-3.125,-3.563,2.938,0.171,0.139,-0.854
down,1,120,-5.312,-3.813,3.688,0.166,0.130,-0.792
down,1,140,-3.375,-6.937,4.000,0.161,0.101,-0.720
down,1,160,-7.375,-11.438,10.250,0.179,0.055,-0.584
down,1,180,-2.875,-13.688,22.937,0.173,0.047,-0.471
down,1,200,9.125,-19.312,28.812,0.140,0.047,-0.365
down,1,220,21.687,-25.125,34.000,0.117,0.044,-0.349
down,1,240,31.687,-28.000,37.750,0.063,0.021,-0.366
down,1,260,16.875,-23.562,30.437,0.184,-0.195,-0.455
down,1,280,1.812,-22.500,26.250,0.368,-0.219,-0.550
down,1,300,29.125,-24.812,27.375,0.350,0.034,-0.544
down,1,320,61.750,-30.625,27.562,0.233,0.165,-0.544
down,1,340,93.125,-39.813,37.188,-0.062,0.144,-0.577
down,1,360,82.250,-25.437,38.688,-0.331,-0.140,-0.655
down,1,380,74.375,15.125,22.875,-0.186,-0.125,-0.806
down,1,400,99.750,42.250,-2.438,0.146,0.167,-0.928
down,1,420,111.250,27.312,-11.000,0.291,-0.056,-1.191
down,1,440,133.000,17.750,-6.062,0.366,-0.327,-1.448
down,1,460,189.625,-85.750,21.562,0.467,-0.322,-1.609
down,1,480,203.812,-101.438,40.375,0.257,-0.356,-1.714
down,1,500,144.937,-58.250,-2.125,-0.268,-0.690,-1.716
down,1,520,57.250,-26.312,-18.187,-0.114,-0.821,-1.892
down,1,540,0.375,-6.812,-13.625,0.056,-0.590,-1.833
down,1,560,7.750,5.625,3.688,0.079,-0.380,-1.600
down,1,580,14.625,8.188,-2.000,-0.007,-0.268,-1.385
down,1,600,20.562,-3.188,-11.750,0.007,-0.302,-1.240
down,1,620,19.500,-10.750,-9.063,0.028,-0.289,-1.112
down,1,640,10.750,-15.250,-9.563,0.052,-0.304,-1.038
down,1,660,9.938,-7.250,-4.187,0.024,-0.360,-1.014
down,1,680,10.750,1.125,4.062,0.064,-0.431,-1.136
down,1,700,1.312,4.125,4.875,0.222,-0.626,-1.504
down,1,720,-12.750,-11.125,13.688,0.145,-0.381,-1.300
down,1,740,-0.750,-14.000,12.938,-0.077,-0.090,-0.838
down,1,760,1.062,-8.125,-10.563,-0.049,-0.171,-0.874
down,1,780,12.813,-2.250,-7.750,0.009,-0.263,-0.917
down,1,800,14.438,0.375,-7.312,0.119,-0.487,-1.126
down,1,820,17.000,-3.750,0.250,0.104,-0.484,-1.107
down,1,840,25.312,-5.875,7.187,0.004,-0.348,-0.913
down,1,860,26.000,-3.938,5.375,-0.033,-0.358,-0.893
down,1,880,23.937,0.750,6.687,0.029,-0.432,-0.996
down,1,900,27.062,1.375,10.063,0.051,-0.441,-1.084
down,1,920,35.938,-8.500,21.937,-0.012,-0.447,-1.211
down,1,940,23.687,-1.312,17.687,-0.135,-0.551,-1.360
down,1,960,-0.625,21.875,-10.938,-0.006,-0.634,-1.630
down,1,980,-19.750,22.875,-14.938,0.152,-0.627,-1.795
down,1,1000,-52.000,18.250,-17.125,0.208,-0.611,-1.804
down,1,1020,-98.813,10.875,-28.562,0.237,-0.661,-1.794
down,1,1040,-119.563,4.125,-31.812,0.189,-0.573,-1.667
down,1,1060,-141.250,2.438,-38.125,0.085,-0.479,-1.486
down,1,1080,-144.000,14.375,-43.625,0.035,-0.402,-1.374
down,1,1100,-123.688,19.937,-33.625,0.065,-0.402,-1.302
down,1,1120,-103.250,22.062,-20.312,0.103,-0.365,-1.178
down,1,1140,-112.125,16.000,-21.500,0.130,-0.295,-1.082
down,1,1160,-116.313,10.250,-22.312,0.097,-0.195,-1.038
down,1,1180,-109.625,11.188,-21.187,0.062,-0.096,-0.966
down,1,1200,-105.438,10.438,-17.875,0.071,-0.021,-0.897
down,1,1220,-102.563,4.375,-16.500,0.079,-0.015,-0.849
down,1,1240,-88.313,-4.750,-9.125,0.064,-0.074,-0.816
down,1,1260,-68.000,-1.750,-3.813,0.014,-0.046,-0.773
down,1,1280,-55.375,8.438,-6.500,-0.092,0.043,-0.716
down,1,1300,-37.500,28.437,-9.250,-0.007,0.090,-0.729
down,1,1320,-41.063,32.438,-14.188,0.164,0.074,-0.767
down,1,1340,-49.125,20.625,-20.937,0.135,0.007,-0.759
down,1,1360,-52.938,19.250,-24.375,0.089,0.017,-0.709
down,1,1380,-40.250,24.875,-21.125,0.138,0.000,-0.712
down,1,1400,-28.750,22.625,-10.563,0.122,-0.059,-0.688
down,1,1420,-28.500,28.250,-11.938,0.084,0.083,-0.650
down,1,1440,-39.375,33.438,-30.937,0.161,0.218,-0.648
down,1,1460,-33.125,20.562,-36.938,0.209,0.206,-0.608
down,1,1480,-16.937,-1.375,-4.500,0.171,0.045,-0.613
down,1,1500,0.375,1.187,14.875,0.023,0.060,-0.577
down,1,1520,-0.250,20.312,3.813,0.038,0.184,-0.569
down,1,1540,-3.500,26.750,-1.187,0.176,0.254,-0.633
down,1,1560,5.562,24.875,3.250,0.196,0.333,-0.634
down,1,1580,12.625,21.750,1.750,0.212,0.318,-0.694
down,1,1600,18.062,17.437,1.250,0.277,0.244,-0.780
down,1,1620,20.312,8.063,7.812,0.272,0.189,-0.836
down,1,1640,22.937,3.188,11.313,0.244,0.153,-0.875
down,1,1660,24.375,3.375,9.313,0.226,0.176,-0.903
down,1,1680,24.312,4.062,4.750,0.196,0.192,-0.928
down,1,1700,23.437,6.812,1.250,0.161,0.173,-0.962
down,1,1720,20.125,12.813,5.375,0.169,0.176,-1.020
down,1,1740,20.937,17.125,7.625,0.260,0.176,-1.054
down,1,1760,23.875,15.875,9.063,0.358,0.158,-1.080
down,1,1780,23.062,7.875,8.375,0.342,0.145,-1.075
down,1,1800,21.562,1.312,2.563,0.308,0.104,-1.064
down,1,1820,16.500,-4.062,-1.437,0.299,0.053,-1.057
down,1,1840,11.750,-4.312,-2.438,0.285,0.041,-1.039
down,1,1860,5.625,-4.562,0.937,0.283,0.057,-1.021
down,1,1880,7.937,-1.937,3.688,0.269,0.115,-1.006
down,1,1900,9.125,-3.063,1.875,0.244,0.093,-1.021
down,1,1920,8.750,-4.187,5.187,0.176,0.086,-1.000
down,1,1940,4.250,0.375,2.625,0.193,0.071,-1.007
down,1,1960,2.625,4.187,3.500,0.249,0.090,-1.023
down,1,1980,2.500,4.187,4.562,0.254,0.108,-1.016
down,2,1,0.125,0.562,-1.625,0.299,0.205,-0.945
down,2,20,2.188,-0.687,-0.125,0.319,0.208,-0.930
down,2,40,-0.312,-2.688,-1.250,0.312,0.189,-0.911
down,2,60,0.875,-1.812,-2.688,0.308,0.175,-0.898
down,2,80,0.937,-2.688,-1.312,0.287,0.140,-0.850
down,2,100,-3.125,-7.062,1.125,0.248,0.091,-0.767
down,2,120,-7.937,-16.312,4.437,0.229,0.027,-0.666
down,2,140,-5.250,-21.062,14.500,0.131,0.006,-0.510
down,2,160,-10.438,-23.375,23.125,0.095,-0.083,-0.385
down,2,180,-6.375,-20.750,38.125,0.115,-0.068,-0.341
down,2,200,6.250,-23.250,45.125,0.155,-0.021,-0.264
down,2,220,15.313,-32.375,50.250,0.166,-0.080,-0.246
down,2,240,30.687,-40.563,69.063,0.083,0.044,-0.253
down,2,260,41.250,-49.375,77.875,0.017,0.085,-0.282
down,2,280,29.375,-52.125,76.000,-0.010,0.079,-0.445
down,2,300,6.750,-32.688,50.313,0.071,-0.105,-0.665
down,2,320,1.250,-19.187,42.125,0.250,0.041,-0.961
down,2,340,34.688,-22.500,43.438,0.343,0.306,-1.055
down,2,360,45.375,-41.813,59.313,0.194,0.152,-1.119
down,2,380,67.063,-47.250,62.313,-0.049,-0.061,-1.177
