gesture,rep,t_ms,gx,gy,gz,ax,ay,az
front,1,1,0.187,3.000,2.500,0.059,0.392,-0.965
front,1,21,1.375,3.500,2.063,0.056,0.388,-0.981
front,1,40,4.250,2.938,-0.187,0.059,0.392,-0.969
front,1,60,3.188,3.063,-1.875,0.056,0.392,-0.958
front,1,80,3.625,1.500,-2.875,0.056,0.393,-0.969
front,1,100,5.125,-1.062,-2.125,0.072,0.409,-0.967
front,1,120,1.812,-0.375,1.437,0.077,0.417,-0.965
front,1,140,0.500,1.875,3.563,0.074,0.405,-0.970
front,1,160,5.187,-1.687,3.625,0.073,0.401,-0.956
front,1,180,4.125,-4.500,3.563,0.077,0.413,-0.941
front,1,200,0.125,-4.125,2.750,0.078,0.413,-0.950
front,1,220,0.375,-4.937,1.000,0.085,0.414,-0.963
front,1,240,4.500,-4.250,-0.750,0.069,0.428,-0.948
front,1,260,4.312,-8.438,0.687,0.068,0.465,-0.938
front,1,280,-0.687,-9.625,7.250,0.079,0.461,-0.977
front,1,300,-2.375,-1.187,16.062,0.056,0.419,-1.009
front,1,320,3.813,4.875,22.312,0.030,0.373,-1.004
front,1,340,11.938,11.500,25.437,-0.021,0.301,-0.994
front,1,360,23.125,15.188,13.313,-0.033,0.216,-0.934
front,1,380,39.063,-16.562,-11.813,0.034,0.177,-0.901
front,1,400,21.375,-43.063,-15.938,0.017,0.159,-1.065
front,1,420,-18.250,-39.438,6.875,-0.086,0.058,-1.301
front,1,440,-49.750,-28.062,26.500,-0.112,-0.208,-1.526
front,1,460,-53.500,-23.187,23.875,-0.133,-0.479,-1.679
front,1,480,-35.813,-12.000,-1.562,-0.165,-0.686,-1.722
front,1,500,-0.687,-12.000,-44.063,-0.190,-0.698,-1.613
front,1,520,15.375,-28.562,-83.625,-0.175,-0.526,-1.410
front,1,540,-10.375,-28.250,-97.000,-0.101,-0.314,-1.249
front,1,560,-29.187,-14.688,-102.375,-0.072,-0.205,-1.167
front,1,580,-7.000,-36.625,-94.188,0.000,-0.009,-1.064
front,1,600,4.125,-36.750,-52.438,0.064,0.215,-1.013
front,1,620,-2.750,18.687,-1.437,0.004,0.353,-0.830
front,1,640,12.188,21.625,40.750,-0.094,0.413,-0.673
front,1,660,31.250,19.750,65.688,-0.186,0.490,-0.547
front,1,680,28.562,24.000,73.063,-0.259,0.688,-0.362
front,1,700,7.625,22.687,63.938,-0.288,0.810,-0.294
front,1,720,16.812,14.625,62.813,-0.190,0.888,-0.347
front,1,740,20.687,7.437,44.313,-0.164,0.959,-0.299
front,1,760,-16.125,19.937,-3.938,-0.095,1.019,-0.372
front,1,780,-51.563,37.000,-40.813,0.031,0.970,-0.530
front,1,800,-49.813,35.063,-77.563,0.069,0.861,-0.664
front,1,820,-42.250,-20.437,-103.375,0.168,0.988,-0.810
front,1,840,-49.313,-56.250,-78.125,0.324,1.070,-1.144
front,1,860,-33.125,-11.563,-44.938,0.261,0.937,-1.400
front,1,880,5.062,32.313,1.875,0.042,0.792,-1.303
front,1,900,20.687,37.688,14.813,-0.081,0.671,-1.082
front,1,920,23.750,3.750,11.063,-0.078,0.594,-0.951
front,1,940,13.875,-17.562,-0.750,-0.048,0.604,-0.870
front,1,960,-5.187,-32.938,-16.625,-0.049,0.659,-0.945
