gesture,rep,t_ms,gx,gy,gz,ax,ay,az
left,1,1,-2.188,-0.562,1.250,-0.049,-0.021,-1.012
left,1,20,-0.875,-2.125,0.625,-0.050,-0.012,-1.014
left,1,40,-0.500,-2.063,0.812,-0.060,-0.024,-1.016
left,1,60,-0.187,-4.875,0.750,-0.067,-0.040,-1.021
left,1,80,-1.687,-4.812,0.875,-0.073,-0.029,-1.022
left,1,100,-2.250,-2.625,-1.937,-0.087,-0.024,-1.025
left,1,120,-3.188,-0.250,-5.125,-0.094,-0.008,-1.039
left,1,140,-5.625,2.938,-5.625,-0.097,-0.002,-1.052
left,1,160,-6.500,4.562,-0.375,-0.075,-0.010,-1.049
left,1,180,-3.875,3.188,-1.250,-0.048,0.006,-1.024
left,1,200,0.937,1.562,-2.375,-0.062,0.000,-1.044
left,1,220,4.750,5.125,-1.937,-0.128,0.015,-1.073
left,1,240,4.000,9.625,-1.937,-0.214,-0.038,-1.098
left,1,260,4.125,15.313,-6.000,-0.309,-0.087,-1.128
left,1,280,-2.125,27.812,-1.187,-0.428,-0.089,-1.173
left,1,300,-6.187,37.875,4.250,-0.441,-0.100,-1.125
left,1,320,-5.812,38.125,5.750,-0.387,-0.021,-1.047
left,1,340,-2.375,26.562,5.437,-0.360,0.000,-0.952
left,1,360,5.062,10.563,2.125,-0.413,-0.058,-0.922
left,1,380,7.437,0.625,8.125,-0.475,-0.072,-0.932
left,1,400,2.625,-4.437,18.250,-0.481,-0.009,-0.945
left,1,420,-5.062,-3.188,24.937,-0.461,0.007,-0.957
left,1,440,-19.000,-4.625,28.875,-0.445,-0.121,-0.954
left,1,460,-25.687,0.000,17.625,-0.381,-0.123,-1.000
left,1,480,-25.500,11.125,-15.375,-0.274,-0.115,-1.052
left,1,500,-25.937,24.500,-31.437,-0.197,0.101,-1.075
left,1,520,-26.125,19.125,-20.750,-0.083,0.166,-1.015
left,1,540,-13.625,-3.188,8.250,-0.177,0.056,-1.017
left,1,560,-19.625,6.812,-25.187,-0.149,-0.143,-1.071
left,1,580,-10.375,19.875,-44.500,-0.157,0.104,-0.996
left,1,600,-13.500,25.687,-13.563,-0.115,0.082,-0.953
left,1,620,-22.500,31.312,18.125,0.125,0.074,-0.806
left,1,640,-30.625,8.188,22.062,0.338,0.106,-0.747
left,1,660,-18.937,-24.187,-0.937,0.244,0.059,-0.849
left,1,680,-25.750,-28.312,-1.437,0.056,0.186,-1.061
left,1,700,-47.813,-4.875,-21.937,0.292,0.154,-1.049
left,1,720,-39.563,-1.125,-34.313,0.406,0.194,-0.928
left,1,740,-25.875,-22.562,-16.000,0.413,0.409,-0.995
left,1,760,-40.188,-42.188,34.875,0.427,0.400,-1.071
left,1,780,-48.500,-72.938,55.250,0.345,0.058,-1.083
left,1,800,-42.938,-83.188,13.000,0.144,0.016,-1.125
left,1,820,-44.313,-59.250,6.875,0.146,0.279,-1.130
left,1,840,-40.000,-42.750,38.063,0.250,0.131,-1.076
left,1,860,-40.563,-66.063,53.938,0.399,0.018,-1.089
left,1,880,-36.313,-87.375,39.250,0.243,0.095,-1.156
left,1,900,-27.000,-79.813,38.125,0.113,0.157,-1.159
left,1,920,-14.000,-65.750,28.875,0.146,0.057,-1.061
left,1,940,-11.625,-59.313,18.062,0.069,0.062,-1.094
left,1,960,-8.625,-33.875,10.813,0.034,0.090,-1.138
left,1,980,-2.313,-8.250,-9.188,-0.019,0.151,-1.128
left,1,1000,10.875,5.250,-17.750,-0.083,0.250,-1.138
left,1,1020,26.062,15.063,-23.125,-0.094,0.215,-1.147
