gesture,rep,t_ms,gx,gy,gz,ax,ay,az
up,1,1,15.500,-5.562,-0.250,-0.019,0.193,-1.010
up,1,21,13.938,-8.750,-2.500,-0.031,0.179,-1.004
up,1,40,3.688,-1.062,-2.750,-0.040,0.170,-1.018
up,1,60,-0.562,3.625,-1.937,-0.029,0.175,-1.019
up,1,80,0.687,0.312,-0.500,-0.020,0.176,-1.008
up,1,100,-6.250,1.125,1.000,-0.014,0.181,-1.002
up,1,120,-17.125,-0.562,1.875,0.008,0.192,-0.999
up,1,140,-26.937,-9.625,4.062,0.058,0.242,-1.033
up,1,160,-45.188,-16.187,13.563,0.031,0.291,-1.165
up,1,180,-69.938,-17.937,31.562,-0.083,0.353,-1.349
up,1,200,-77.438,-41.500,28.875,-0.218,0.390,-1.574
up,1,220,-64.063,-69.625,9.688,-0.369,0.444,-1.894
up,1,240,-30.500,-57.563,-5.562,-0.489,0.505,-2.157
up,1,260,8.563,-26.125,-16.250,-0.479,0.576,-2.152
up,1,280,38.063,-22.437,-20.250,-0.452,0.625,-2.083
up,1,300,67.000,-18.062,-34.500,-0.368,0.600,-2.022
up,1,320,102.000,-12.063,-46.500,-0.227,0.594,-1.871
up,1,340,109.125,15.375,-37.813,-0.101,0.547,-1.684
up,1,360,101.563,20.750,-18.000,0.042,0.463,-1.431
up,1,380,79.688,38.313,12.750,0.094,0.374,-1.157
up,1,400,53.625,34.125,26.625,0.035,0.190,-1.011
up,1,420,49.500,12.188,7.187,0.047,0.100,-0.909
up,1,440,60.625,-7.500,-10.625,0.109,0.152,-0.790
up,1,460,45.563,18.500,7.625,0.122,0.121,-0.666
up,1,480,19.437,52.438,45.125,0.063,-0.025,-0.516
up,1,500,30.500,51.188,50.625,-0.031,-0.091,-0.334
up,1,520,42.063,56.188,15.000,-0.075,-0.097,-0.180
up,1,540,36.500,61.125,-33.688,-0.084,-0.086,-0.062
up,1,560,35.938,40.063,-58.063,-0.009,-0.041,-0.029
up,1,580,21.187,43.125,-58.438,0.091,-0.018,-0.076
up,1,600,1.687,63.375,-54.188,0.080,-0.122,-0.163
up,1,620,15.063,41.000,-66.938,0.059,-0.139,-0.172
up,1,640,21.750,7.062,-85.625,0.078,-0.129,-0.241
up,1,660,7.750,-10.375,-89.563,0.098,-0.153,-0.384
up,1,680,-5.750,-19.625,-78.063,0.075,-0.178,-0.531
up,1,700,-10.813,-6.875,-70.563,0.053,-0.167,-0.613
