gesture,rep,t_ms,gx,gy,gz
left,1,1,8.125,-24.062,0.625
left,1,11,18.312,-32.063,-12.188
left,1,21,22.687,-41.688,-19.000
left,1,31,21.687,-54.063,-25.687
left,1,41,16.437,-65.375,-32.313
left,1,51,12.000,-68.313,-32.750
left,1,61,7.812,-69.625,-29.187
left,1,71,0.437,-72.500,-25.000
left,1,81,-5.750,-71.125,-25.187
left,1,91,-7.312,-62.813,-28.000
left,1,101,-1.562,-45.938,-24.687
left,1,111,7.375,-36.625,-10.500
left,1,121,16.562,-43.625,13.375
left,1,131,20.062,-61.563,29.250
left,1,141,14.438,-79.375,39.875
left,1,151,2.438,-90.500,44.500
left,1,161,-4.375,-90.125,41.563
left,1,171,-4.687,-88.625,37.688
left,1,181,2.375,-96.750,38.438
left,1,191,7.937,-110.688,44.438
left,1,201,7.937,-124.313,52.313
left,1,211,-3.563,-129.312,62.750
left,1,221,-20.875,-115.563,72.563
left,1,231,-41.313,-83.063,83.250
left,1,241,-60.188,-24.687,92.750
left,1,251,-57.438,18.812,89.250
left,1,261,-23.625,40.375,56.313
left,1,271,20.375,23.437,2.500
left,1,281,59.938,-12.938,-69.000
left,1,291,73.500,-53.313,-166.312
left,1,301,48.813,-61.125,-241.375
left,1,311,4.562,-45.938,-310.375
left,1,321,-50.375,-15.125,-383.687
left,1,331,-80.438,1.125,-426.812
left,1,341,-95.188,3.000,-452.937
left,1,351,-97.375,-14.500,-461.625
left,1,361,-93.875,-38.563,-453.500
left,1,371,-92.125,-69.500,-431.812
left,1,381,-95.813,-84.688,-409.312
left,1,391,-103.188,-87.688,-380.625
left,1,401,-116.188,-85.563,-332.750
left,1,411,-130.250,-83.750,-288.937
left,1,421,-148.000,-75.063,-248.375
left,1,431,-173.187,-51.875,-212.250
left,1,441,-192.250,-29.750,-197.562
left,1,451,-205.312,-7.937,-194.875
left,1,461,-202.437,20.000,-206.500
left,1,471,-183.312,39.688,-220.625
left,1,481,-158.562,50.063,-230.187
left,1,491,-137.937,50.313,-234.187
left,1,501,-136.687,53.188,-237.250
left,1,511,-145.250,74.313,-247.250
left,1,521,-150.062,92.563,-258.625
left,1,531,-153.875,87.688,-272.062
left,1,541,-153.187,44.938,-290.000
