gesture,rep,t_ms,gx,gy,gz
right,1,1,5.875,1.562,-19.437
right,1,11,5.375,-2.000,-19.250
right,1,21,2.938,-4.812,-17.062
right,1,31,0.000,-6.125,-14.625
right,1,41,-0.562,-4.062,-13.500
right,1,51,0.937,-1.000,-14.250
right,1,61,1.437,-0.187,-15.000
right,1,71,-1.375,-3.063,-13.813
right,1,81,-7.375,-8.313,-10.625
right,1,91,-16.312,-15.000,-4.375
right,1,101,-22.437,-17.437,-0.062
right,1,111,-29.187,-16.937,1.125
right,1,121,-41.750,-15.938,-1.250
right,1,131,-53.063,-17.625,-4.625
right,1,141,-61.250,-20.687,-8.375
right,1,151,-64.938,-18.312,-13.000
right,1,161,-62.000,-6.875,-14.688
right,1,171,-51.563,18.000,-11.438
right,1,181,-29.812,41.500,-2.750
right,1,191,-12.813,63.063,14.000
right,1,201,0.187,80.500,49.438
right,1,211,4.000,83.500,86.688
right,1,221,4.625,73.313,127.625
right,1,231,7.312,44.188,179.937
right,1,241,16.250,10.500,216.500
right,1,251,34.125,-31.125,245.562
right,1,261,58.625,-74.125,272.750
right,1,271,58.563,-94.000,280.625
right,1,281,39.750,-105.375,276.562
right,1,291,18.000,-115.188,272.812
right,1,301,9.313,-124.438,278.187
right,1,311,6.312,-134.187,291.562
right,1,321,13.875,-133.062,300.187
right,1,331,29.062,-122.500,304.187
right,1,341,40.938,-106.750,306.000
right,1,351,30.375,-105.813,306.562
right,1,361,6.375,-119.688,304.625
right,1,371,-16.937,-144.375,296.625
right,1,381,-17.250,-161.437,286.500
right,1,391,-6.562,-174.250,274.875
right,1,401,3.688,-182.750,258.750
right,1,411,0.250,-183.062,244.125
right,1,421,-12.375,-179.562,223.312
right,1,431,-31.125,-178.125,205.625
right,1,441,-39.500,-177.437,188.687
right,1,451,-37.563,-171.312,168.687
right,1,461,-31.875,-160.000,154.437
right,1,471,-29.875,-144.875,143.500
right,1,481,-36.313,-124.438,134.250
right,1,491,-45.250,-107.625,127.250
right,1,501,-50.438,-87.688,118.063
right,1,511,-44.375,-52.750,102.438
right,1,521,-33.188,-18.750,86.750
right,1,531,-23.375,13.188,68.688
right,1,541,-16.375,41.188,41.813
right,1,551,-12.313,53.438,16.125
right,1,561,-3.188,63.188,-16.312
right,1,571,6.187,69.063,-38.688
right,1,581,13.750,73.000,-57.813
right,1,591,22.125,76.750,-77.688
right,1,601,30.937,81.125,-90.688
