gesture,rep,t_ms,gx,gy,gz
up,1,1,-3.500,-1.312,-0.437
up,1,10,-10.063,0.625,0.625
up,1,21,-14.875,3.313,2.563
up,1,31,-19.937,6.875,5.062
up,1,41,-23.875,9.313,6.000
up,1,51,-26.312,10.500,5.625
up,1,61,-23.500,9.500,4.625
up,1,71,-16.125,7.500,3.875
up,1,81,-4.500,4.750,3.250
up,1,91,0.750,2.438,2.688
up,1,101,-0.750,0.375,2.125
up,1,111,-8.125,-0.937,1.937
up,1,121,-13.688,-1.187,2.250
up,1,131,-17.562,-1.625,3.000
up,1,141,-19.687,-2.688,4.625
up,1,151,-18.875,-4.000,5.750
up,1,161,-16.375,-5.812,6.500
up,1,171,-14.813,-8.313,6.812
up,1,181,-17.687,-10.125,6.875
up,1,191,-23.187,-13.563,7.187
up,1,201,-24.375,-18.000,8.188
up,1,211,-19.687,-23.750,10.250
up,1,221,-5.875,-31.812,13.313
up,1,231,6.062,-37.813,14.438
up,1,241,13.625,-42.750,14.188
up,1,251,17.625,-48.688,12.063
up,1,261,22.812,-54.438,9.313
up,1,271,31.687,-58.625,8.000
up,1,281,43.813,-56.375,10.875
up,1,291,51.250,-49.813,14.313
up,1,301,54.938,-41.500,15.063
up,1,311,52.688,-35.625,13.313
up,1,321,47.750,-29.250,12.313
up,1,331,40.375,-21.000,13.375
up,1,341,36.688,-14.125,13.250
up,1,351,39.125,-4.937,9.750
up,1,361,45.750,9.125,1.125
up,1,371,46.813,17.437,-6.437
up,1,381,45.875,20.312,-12.688
up,1,391,47.938,17.062,-17.250
up,1,401,50.250,13.563,-19.562
up,1,411,53.500,16.750,-24.875
up,1,421,59.938,35.875,-30.625
up,1,431,59.250,58.750,-36.250
up,1,441,43.938,84.438,-42.125
up,1,451,25.187,94.875,-44.813
up,1,461,10.250,92.438,-45.750
up,1,471,13.625,72.938,-49.000
up,1,481,37.688,56.313,-55.625
up,1,491,65.250,50.250,-63.500
up,1,501,81.438,55.000,-70.563
up,1,511,79.375,60.313,-72.500
up,1,521,70.125,65.313,-71.688
up,1,531,52.500,72.688,-68.938
up,1,541,36.500,76.625,-65.250
up,1,551,19.625,76.250,-56.750
up,1,561,8.375,75.500,-45.250
up,1,571,-6.562,77.625,-29.250
up,1,581,-35.438,78.813,-6.812
up,1,591,-56.313,70.875,5.937
up,1,601,-57.125,57.000,9.625
up,1,611,-29.500,42.625,4.500
up,1,621,-4.687,35.375,-2.000
up,1,631,10.813,28.125,-7.312
up,1,641,20.000,18.500,-10.813
up,1,651,21.625,14.063,-11.813
up,1,661,19.187,13.563,-11.438
up,1,671,11.375,14.500,-9.063
up,1,681,0.312,14.125,-4.125
up,1,691,-15.188,12.375,4.875
up,1,701,-22.312,9.750,12.875
up,1,711,-23.937,5.625,19.375
up,1,721,-22.687,-2.125,23.062
up,1,731,-19.750,-10.750,23.000
up,1,741,-15.250,-20.937,23.125
up,1,751,-13.438,-33.375,25.562
up,1,761,-16.625,-41.000,28.562
up,1,771,-19.062,-46.313,31.687
up,1,781,-14.563,-50.813,35.563
up,1,791,-5.875,-53.188,38.813
up,1,801,2.688,-53.500,43.813
up,1,811,3.063,-52.563,47.188
up,1,821,-0.125,-52.625,49.063
up,1,831,0.125,-55.375,50.688
up,1,841,6.812,-57.188,52.563
up,1,851,12.313,-55.875,54.000
up,1,861,5.500,-51.063,53.750
up,1,871,-7.250,-49.188,52.563
up,1,881,-15.188,-50.625,52.813
up,1,891,-12.813,-49.938,57.438
up,1,901,-11.563,-45.438,62.375
up,1,911,-16.375,-44.438,62.563
up,1,921,-23.125,-53.813,57.313
up,1,931,-23.937,-63.375,51.563
up,1,941,-21.687,-65.750,47.188
up,1,951,-24.000,-56.875,46.688
up,1,961,-35.563,-42.813,46.375
up,1,971,-56.625,-27.125,42.375
up,1,981,-66.563,-23.187,37.000
up,1,991,-64.313,-27.875,31.187
up,2,1,-2.438,3.750,0.812
up,2,11,-2.000,4.687,-1.000
up,2,21,0.062,4.437,-2.188
up,2,31,1.250,2.938,-1.750
up,2,41,0.875,1.125,-0.125
up,2,51,-0.250,-1.062,1.312
up,2,61,-2.500,-2.188,1.812
up,2,71,-3.625,-1.000,0.750
up,2,81,-2.750,1.437,-1.125
up,2,91,-2.000,2.125,-1.437
up,2,101,-2.125,1.437,-0.750
up,2,111,-3.000,-0.312,-0.062
up,2,121,-3.813,-1.500,0.187
up,2,131,-4.250,-1.937,0.312
up,2,141,-4.125,-1.500,0.062
up,2,151,-4.250,-1.000,0.062
up,2,161,-4.875,-0.687,0.562
up,2,171,-5.437,-0.375,1.500
up,2,181,-5.000,-0.562,1.812
up,2,191,-3.875,-1.562,1.937
up,2,201,-1.937,-2.625,2.063
up,2,211,-0.812,-3.563,2.125
up,2,221,-1.250,-3.625,1.937
up,2,231,-2.188,-2.563,1.625
up,2,241,-2.938,-1.312,1.187
up,2,251,-4.437,-0.562,0.562
up,2,261,-5.937,-0.750,0.000
up,2,271,-6.062,-1.187,-0.437
up,2,281,-4.000,-1.625,-0.187
up,2,291,-1.750,-1.937,0.625
up,2,301,-0.937,-2.500,1.625
up,2,311,-3.625,-3.188,3.000
up,2,321,-7.250,-3.313,4.187
up,2,331,-10.563,-2.938,5.375
up,2,341,-12.000,-2.813,5.750
up,2,351,-12.625,-3.188,5.562
up,2,361,-11.688,-4.812,5.000
up,2,371,-9.188,-7.750,4.687
up,2,381,-4.687,-12.563,5.000
up,2,391,6.812,-20.312,6.250
up,2,401,24.687,-27.562,5.500
up,2,411,51.563,-37.188,0.187
up,2,421,92.438,-55.875,-13.188
up,2,431,125.625,-67.813,-27.125
up,2,441,151.250,-67.938,-46.938
up,2,451,162.437,-58.500,-60.500
up,2,461,159.187,-45.063,-68.188
