gesture,rep,t_ms,gx,gy,gz
down,1,1,-0.562,-0.375,-0.750
down,1,10,-0.687,-0.500,-0.750
down,1,21,-0.750,-0.562,-0.937
down,1,31,-0.750,-0.500,-0.937
down,1,41,-1.125,-0.562,-0.625
down,1,51,-1.500,-0.500,-0.375
down,1,61,-1.562,-0.312,-0.375
down,1,71,-1.562,-0.250,-0.750
down,1,81,-1.687,-0.500,-1.250
down,1,91,-2.000,-0.937,-1.750
down,1,101,-2.188,-1.125,-1.687
down,1,111,-1.812,-1.062,-1.062
down,1,121,-1.312,-0.625,-0.250
down,1,131,-1.562,-0.062,-0.062
down,1,141,-2.063,0.500,0.000
down,1,151,-2.000,0.625,0.687
down,1,161,-1.375,0.250,1.375
down,1,171,-1.062,-0.500,1.562
down,1,181,-1.687,-1.687,1.625
down,1,191,-2.063,-2.500,1.875
down,1,201,-1.625,-2.875,2.250
down,1,211,-0.562,-3.438,2.563
down,1,221,-0.562,-4.437,2.813
down,1,231,-0.937,-6.500,4.000
down,1,241,0.187,-7.937,6.187
down,1,251,3.250,-8.313,9.188
down,1,261,7.437,-7.312,11.813
down,1,271,8.125,-6.937,11.625
down,1,281,5.625,-8.188,10.063
down,1,291,1.250,-10.375,9.500
down,1,301,1.250,-8.563,13.625
down,1,311,6.562,-1.625,22.375
down,1,321,16.562,8.188,33.750
down,1,331,21.687,9.063,37.375
down,1,341,20.937,-6.687,32.250
down,1,351,13.250,-36.188,21.437
down,1,361,10.500,-80.563,4.187
down,1,371,28.000,-146.750,-27.875
down,1,381,61.375,-192.625,-56.188
down,1,391,99.938,-220.437,-75.250
down,1,401,135.062,-218.625,-78.438
down,1,411,146.625,-183.062,-65.250
down,1,421,138.062,-121.625,-39.813
down,1,431,83.875,-39.375,3.375
down,1,441,5.562,12.313,29.500
down,1,451,-88.063,48.313,39.375
down,1,461,-202.562,57.625,44.688
down,1,471,-274.187,49.438,49.875
down,1,481,-323.687,30.437,55.000
down,1,491,-335.937,3.563,52.750
down,1,501,-339.312,-31.187,40.688
down,1,511,-343.625,-75.938,16.625
down,1,521,-340.875,-93.750,9.750
down,1,531,-329.062,-72.438,25.187
down,1,541,-308.312,-9.625,58.750
down,1,551,-298.187,25.812,76.625
down,1,561,-296.375,29.687,81.250
down,1,571,-290.625,7.000,79.250
down,1,581,-273.187,-15.438,79.375
down,1,591,-228.812,-41.000,76.063
down,1,601,-207.375,-55.188,65.688
down,1,611,-185.062,-57.688,51.063
down,1,621,-166.625,-35.063,31.437
down,1,631,-149.812,5.937,15.688
down,1,641,-122.063,57.438,1.875
down,1,651,-69.813,112.000,-10.250
down,1,661,-19.687,130.937,-15.250
down,1,671,29.125,120.375,-14.688
down,1,681,75.250,66.438,-8.500
down,1,691,95.688,0.187,-3.563
down,1,701,105.000,-69.500,15.938
down,1,711,109.563,-133.875,3.438
down,1,721,111.625,-152.687,3.500
down,1,731,113.688,-134.125,-2.875
down,1,741,113.625,-96.688,-10.938
down,1,751,110.188,-54.375,-18.187
down,1,761,102.625,-10.938,-25.125
down,1,771,97.563,13.000,-29.375
down,1,781,97.000,29.000,-32.188
down,1,791,105.500,38.500,-34.375
down,1,801,120.688,38.375,-35.000
down,1,811,140.750,33.125,-33.125
down,1,821,161.000,23.875,-26.875
down,1,831,163.250,18.312,-21.500
down,1,841,149.937,16.875,-14.875
down,1,851,139.000,22.062,-6.125
down,1,861,135.000,38.000,6.375
down,1,871,133.125,74.813,22.125
down,1,881,136.750,110.500,32.938
down,1,891,156.875,145.375,42.438
down,1,901,197.250,171.500,52.125
down,1,911,218.875,164.187,57.063
down,1,921,217.875,133.500,56.563
down,1,931,196.500,88.688,47.500
down,1,941,177.937,60.500,35.188
down,1,951,160.750,38.188,18.875
down,1,961,143.437,17.500,11.000
down,1,971,137.625,10.188,9.188
down,1,981,138.062,11.063,10.500
down,1,991,135.750,9.438,10.313
down,2,1,-0.437,1.125,-1.875
down,2,11,-0.062,1.625,-1.312
down,2,21,0.250,1.875,-0.750
down,2,31,0.250,1.500,-0.250
down,2,41,0.187,1.062,0.187
down,2,51,0.187,0.625,0.687
down,2,61,0.937,0.812,1.312
down,2,71,2.125,1.375,1.687
down,2,81,3.563,1.625,2.188
down,2,91,4.187,1.125,2.563
down,2,101,4.375,-0.062,2.813
down,2,111,4.937,-2.125,3.063
down,2,121,6.875,-4.000,3.500
down,2,131,11.375,-5.500,4.187
down,2,141,17.812,-6.875,4.937
down,2,151,20.062,-8.063,4.437
down,2,161,19.312,-9.875,2.750
down,2,171,17.312,-12.875,0.687
down,2,181,16.625,-14.563,0.500
down,2,191,17.812,-13.313,3.438
down,2,201,23.250,-9.688,8.563
down,2,211,29.500,-6.937,13.813
down,2,221,34.813,-10.063,16.312
down,2,231,36.125,-17.937,14.500
down,2,241,36.250,-27.625,10.438
down,2,251,36.188,-38.250,3.250
down,2,261,35.313,-44.125,-3.563
down,2,271,34.875,-46.938,-9.313
down,2,281,40.125,-48.188,-11.063
down,2,291,49.125,-49.375,-10.313
down,2,301,57.063,-50.688,-11.875
down,2,311,61.313,-56.500,-16.125
down,2,321,60.688,-67.313,-17.625
down,2,331,56.625,-80.500,-15.938
down,2,341,51.313,-84.250,-11.375
down,2,351,44.000,-82.438,-3.375
down,2,361,31.625,-73.688,11.875
down,2,371,17.375,-62.000,26.250
down,2,381,-6.000,-48.625,38.125
down,2,391,-49.438,-32.375,45.938
down,2,401,-88.063,-18.375,48.938
down,2,411,-122.625,0.937,51.375
down,2,421,-161.562,30.812,53.313
down,2,431,-197.687,49.250,52.688
down,2,441,-242.937,65.875,51.500
down,2,451,-269.750,81.125,51.375
down,2,461,-290.750,98.000,51.875
down,2,471,-316.812,119.688,51.438
down,2,481,-334.125,135.500,47.938
down,2,491,-342.562,146.750,39.875
down,2,501,-341.250,158.312,24.062
down,2,511,-335.562,174.750,9.750
down,2,521,-327.062,198.937,-4.812
down,2,531,-304.750,230.687,-21.437
down,2,541,-277.062,247.000,-30.187
down,2,551,-250.250,243.437,-37.875
down,2,561,-223.687,207.187,-44.500
down,2,571,-201.687,167.687,-48.250
down,2,581,-165.312,128.937,-47.125
down,2,591,-131.500,105.063,-48.688
down,2,601,-100.438,75.750,-54.125
down,2,611,-64.375,35.063,-50.938
down,2,621,-27.625,11.250,-32.438
down,2,631,20.625,-3.188,-8.000
down,2,641,85.625,-14.063,19.062
down,2,651,122.000,-26.875,27.625
down,2,661,135.812,-44.813,21.500
down,2,671,133.687,-61.000,9.500
down,2,681,131.937,-63.250,6.500
down,2,691,138.500,-57.000,10.813
down,2,701,148.625,-51.063,17.437
down,2,711,163.625,-45.750,28.375
down,2,721,185.625,-42.438,46.813
down,2,731,195.125,-48.438,58.938
down,2,741,193.250,-64.375,67.813
down,2,751,183.937,-90.438,77.313
down,2,761,178.812,-106.063,80.625
down,2,771,174.750,-112.188,74.875
down,2,781,165.250,-108.500,52.875
down,2,791,157.000,-97.313,32.750
down,2,801,156.687,-74.250,18.062
down,2,811,163.687,-36.750,13.000
down,2,821,164.687,-14.188,8.000
down,2,831,159.625,0.812,1.562
down,2,841,156.437,10.125,1.250
down,2,851,154.687,22.687,8.313
down,2,861,152.375,40.938,27.875
down,2,871,152.875,60.813,50.313
down,2,881,156.812,90.000,75.250
down,2,891,154.625,99.063,84.625
down,2,901,133.625,58.750,69.000
down,2,911,103.438,1.312,43.500
down,2,921,86.938,-42.250,16.750
down,2,931,100.188,-46.563,3.875
down,2,941,124.938,-40.563,-6.125
down,2,951,137.500,-37.313,-5.562
down,2,961,147.062,-30.937,4.750
down,2,971,156.250,-19.250,22.562
down,2,981,154.250,-16.437,31.937
down,2,991,139.937,-22.125,34.000
down,3,1,-1.062,4.562,2.688
down,3,11,-1.250,3.938,2.500
down,3,21,-2.125,2.375,1.812
down,3,31,-3.250,0.312,0.312
down,3,41,-3.250,-0.375,-0.625
down,3,51,-2.438,0.000,-0.437
down,3,61,-1.625,0.312,1.000
down,3,71,-2.063,-0.250,1.875
down,3,81,-3.438,-1.250,1.687
down,3,91,-4.062,-1.875,1.125
down,3,101,-3.750,-2.813,0.812
down,3,111,-2.750,-4.187,1.187
down,3,121,-2.313,-4.625,2.188
down,3,131,-1.750,-4.250,3.938
down,3,141,0.312,-3.875,6.750
down,3,151,2.438,-4.125,8.250
down,3,161,2.875,-5.000,8.063
down,3,171,0.375,-7.312,6.000
down,3,181,-2.375,-9.750,4.187
down,3,191,-4.312,-12.500,2.938
down,3,201,-4.500,-14.375,2.688
down,3,211,-4.437,-15.750,3.250
down,3,221,-4.250,-16.562,4.875
down,3,231,-4.312,-17.125,6.500
down,3,241,-5.187,-19.062,7.937
down,3,251,-6.437,-24.062,9.313
down,3,261,-6.125,-29.437,9.375
down,3,271,-5.250,-36.125,7.875
down,3,281,-5.437,-46.938,3.188
down,3,291,-6.437,-55.688,-2.375
down,3,301,-6.375,-62.000,-9.250
down,3,311,-1.937,-65.375,-12.063
down,3,321,5.062,-64.813,-12.438
down,3,331,14.688,-60.250,-11.938
down,3,341,20.437,-53.875,-10.500
down,3,351,23.062,-46.625,-7.687
down,3,361,20.187,-40.063,-1.500
down,3,371,12.500,-38.938,6.562
down,3,381,-1.000,-41.250,17.500
down,3,391,-29.187,-46.125,33.313
down,3,401,-59.938,-46.438,45.000
down,3,411,-91.750,-39.625,54.875
down,3,421,-125.875,-21.250,63.813
down,3,431,-150.875,-1.687,64.750
down,3,441,-183.125,28.312,56.750
down,3,451,-209.000,57.250,47.313
down,3,461,-234.437,84.188,39.313
down,3,471,-267.312,109.063,32.313
down,3,481,-293.000,125.125,29.375
down,3,491,-314.187,139.500,28.375
down,3,501,-332.375,154.375,25.562
down,3,511,-343.562,165.625,15.063
down,3,521,-351.687,178.500,-3.500
down,3,531,-345.750,195.625,-24.000
down,3,541,-323.312,212.437,-30.250
down,3,551,-291.062,233.125,-30.562
down,3,561,-248.000,257.625,-32.875
down,3,571,-216.625,270.062,-37.813
down,3,581,-183.125,267.437,-43.438
down,3,591,-158.375,243.187,-45.313
down,3,601,-132.187,196.812,-44.438
down,3,611,-96.250,115.563,-44.688
down,3,621,-68.438,51.625,-46.625
down,3,631,-42.188,6.875,-41.188
down,3,641,-6.375,-10.625,-15.875
down,3,651,26.062,1.187,10.438
down,3,661,57.750,10.063,17.187
down,3,671,90.125,-4.125,-2.063
down,3,681,108.375,-27.375,-12.188
down,3,691,119.688,-56.750,-7.437
down,3,701,119.500,-73.938,-1.687
down,3,711,115.875,-80.250,4.812
down,3,721,112.750,-70.125,18.937
down,3,731,110.313,-51.813,33.375
down,3,741,105.375,-31.937,46.375
down,3,751,96.813,-12.813,59.063
down,3,761,92.188,-3.438,69.438
down,3,771,94.750,5.250,85.125
down,3,781,107.688,17.875,115.688
down,3,791,113.625,20.687,143.812
down,3,801,106.250,15.500,173.625
down,3,811,79.250,7.625,190.312
down,3,821,49.375,2.563,199.812
down,3,831,13.750,-8.375,199.562
down,3,841,-1.375,-24.687,192.000
down,3,851,-1.562,-40.125,176.562
down,3,861,15.000,-49.563,141.375
down,3,871,40.750,-53.375,107.500
down,3,881,76.438,-59.813,79.188
down,3,891,124.563,-72.875,54.875
down,3,901,155.687,-87.125,39.563
down,3,911,176.625,-100.563,27.750
down,3,921,193.750,-105.375,23.687
down,3,931,204.000,-97.938,29.687
down,3,941,209.500,-81.813,39.000
down,3,951,207.500,-71.313,42.563
down,3,961,196.375,-74.250,35.313
down,3,971,172.375,-95.250,16.937
down,3,981,155.000,-113.375,3.500
down,3,991,144.187,-125.438,-8.063
down,4,1,-7.125,-0.500,0.062
down,4,11,-6.562,-1.000,-0.125
down,4,21,-4.750,-0.812,0.750
down,4,31,-1.187,0.562,3.250
down,4,41,2.063,1.812,5.937
down,4,51,5.125,2.188,8.125
down,4,61,8.313,1.125,9.125
down,4,71,10.125,-1.125,8.250
down,4,81,11.250,-5.062,5.500
down,4,91,11.375,-8.563,2.563
down,4,101,10.875,-12.125,-0.125
down,4,111,10.563,-17.062,-2.313
down,4,121,12.188,-21.500,-2.688
down,4,131,17.312,-25.562,-1.250
down,4,141,27.687,-31.750,1.937
down,4,151,34.750,-40.563,1.812
down,4,161,36.750,-53.625,-3.375
down,4,171,30.250,-73.500,-15.313
down,4,181,20.562,-88.313,-26.125
down,4,191,10.750,-98.375,-35.188
down,4,201,2.000,-100.938,-40.688
down,4,211,-3.000,-95.813,-39.250
down,4,221,-11.750,-85.250,-31.250
down,4,231,-23.875,-77.313,-21.437
down,4,241,-41.563,-72.563,-9.938
down,4,251,-70.813,-70.188,6.062
down,4,261,-97.813,-66.063,19.812
down,4,271,-126.625,-60.750,33.063
down,4,281,-155.750,-55.313,50.250
down,4,291,-160.687,-44.875,65.813
down,4,301,-157.312,-30.937,77.000
down,4,311,-158.687,-17.750,77.625
down,4,321,-163.812,-7.312,70.063
down,4,331,-189.125,10.250,54.375
down,4,341,-188.562,28.750,38.813
down,4,351,-197.875,51.188,26.125
down,4,361,-205.062,78.438,21.625
down,4,371,-209.375,90.938,22.812
down,4,381,-212.437,90.313,23.125
down,4,391,-216.187,72.563,23.562
down,4,401,-218.750,51.875,23.812
down,4,411,-218.562,36.688,22.562
down,4,421,-211.062,32.188,21.250
down,4,431,-198.312,35.438,24.000
down,4,441,-185.062,39.688,30.437
down,4,451,-172.875,43.875,32.500
down,4,461,-163.562,50.000,31.062
down,4,471,-148.687,73.625,25.562
down,4,481,-132.750,109.875,17.687
down,4,491,-112.250,151.000,6.375
down,4,501,-82.813,179.687,-9.375
down,4,511,-61.750,170.437,-19.875
down,4,521,-44.500,137.375,-26.812
down,4,531,-23.062,86.000,-29.125
down,4,541,-2.250,53.188,-24.125
down,4,551,19.937,31.312,-13.375
down,4,561,41.375,5.187,2.375
down,4,571,49.875,-23.937,11.063
down,4,581,55.125,-62.688,13.938
down,4,591,62.125,-80.250,13.188
down,4,601,72.250,-79.750,12.875
down,4,611,86.000,-60.750,14.313
down,4,621,94.563,-40.250,18.437
